variant,target_shift,fold,n_train,n_test,dynamic_mse,angle_r2,angle_pearson,vigor_r2,vigor_pearson,bout_balanced_accuracy,bout_roc_auc
fastica/keep_top_02/cleaned_fastica_220127_F4_run2_fluorescence,0,1,2523,633,5.476822660397395,0.029931249553162287,0.18832467542607637,0.00741846831986559,0.09556010853187812,0.5139817049930123,0.5207597509846271
fastica/keep_top_02/cleaned_fastica_220127_F4_run2_fluorescence,0,2,2524,632,3.2305427318837956,0.03415628775974466,0.1895380277121725,0.01532058300357908,0.16602476301452965,0.5973124461052026,0.5993820063236562
fastica/keep_top_02/cleaned_fastica_220127_F4_run2_fluorescence,0,3,2523,633,3.415227920159721,0.04583962937357844,0.22001216147023028,-0.00017281046845174508,0.05273290338516425,0.5131778814123917,0.5256229180546304
fastica/keep_top_02/cleaned_fastica_220127_F4_run2_fluorescence,0,4,2527,632,3.167073118777669,0.032176834781437735,0.20030695222123474,-0.0020178704272892922,0.046423637545727016,0.521980111938271,0.5148888768135629
fastica/keep_top_03/cleaned_fastica_220127_F4_run2_fluorescence,0,0,2527,632,5.442808203853342,0.025645341074183925,0.16395043384158053,0.010983185022207631,0.1149475996703392,0.5343764084733759,0.5686691133861309
fastica/keep_top_03/cleaned_fastica_220127_F4_run2_fluorescence,0,1,2523,633,4.622987096723022,0.03003033889690898,0.18752090544891883,0.006367180620234114,0.09007134119776733,0.5066065303011054,0.5150171515690509
fastica/keep_top_03/cleaned_fastica_220127_F4_run2_fluorescence,0,2,2524,632,2.575690034681003,0.03358153216545601,0.18823655332317618,0.01447238909634907,0.16440524537582488,0.5948117275079046,0.5960189709686692
fastica/keep_top_03/cleaned_fastica_220127_F4_run2_fluorescence,0,3,2523,633,2.698583337421008,0.045320499536618764,0.2179406262671497,-0.0004049416206430845,0.05168738350965139,0.5236975349766821,0.5229313790806129
fastica/keep_top_03/cleaned_fastica_220127_F4_run2_fluorescence,0,4,2527,632,2.4172581097297177,0.029353021278158753,0.19628980106800642,-0.002222084529642343,0.04629357577151153,0.5229174591099277,0.5148345378470902
fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,0,0,2527,632,4.660860126643346,0.02445052918053081,0.16122510215869568,0.0100851684697989,0.11048171737156424,0.52838838452128,0.5652565836069796
fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,0,1,2523,633,4.113943740082854,0.0298226935475171,0.18859474935795853,0.004784829927287126,0.08396419691391685,0.5067907508575785,0.5147757591157414
fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,0,2,2524,632,1.9983864540180882,0.03340572316486656,0.18816460126241438,0.013239309210308914,0.16227436884926785,0.5817476286289164,0.5942655935613682
fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,0,3,2523,633,2.3489186063664005,0.044840002840628945,0.21677543472451588,-0.0004364421874474278,0.05112283949830627,0.5331978680879413,0.5210659560293138
fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,0,4,2527,632,1.9565726985667558,0.03017993429709409,0.1998768964697535,-0.002809408604345087,0.04247766937976311,0.5031109058305712,0.5114111829593001
fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,0,0,2527,632,3.9113778051816936,0.02372736860195257,0.15950065508079855,0.00977714502773619,0.11008860659805614,0.5290837679479751,0.5675616508917649
fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,0,1,2523,633,3.6140603295202713,0.03017910096877152,0.18928462691003803,0.004319600697794579,0.08064034573991231,0.5099161478846398,0.5119425740058442
fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,0,2,2524,632,1.5313458305619896,0.032816598998102964,0.18706356216969028,0.012349702905267601,0.1594424209420115,0.5817476286289164,0.5909744179361885
